site_no,station_nm,dec_lat_va,dec_long_va,drain_area_va,alt_va,Q5_cms,Q10_cms,Q20_cms,Q30_cms,Q40_cms,Q50_cms,startDate
16211600,"Makaha Str nr Makaha, Oahu, HI",21.50158333,-158.1801667,2.117,938.64,0.1591584,0.066552,0.028886400000000003,0.018974400000000002,0.012460800000000001,0.0067968,2017-01-01 00:00:00-10:00
16213000,"Waikele Str at Waipahu, Oahu, HI",21.38347222,-158.0109167,45.14,1.37,2.478,1.512288,0.917568,0.719328,0.6032160000000001,0.5267520000000001,2017-01-01 00:00:00-10:00
16229000,"Kalihi Str nr Honolulu, Oahu, HI",21.3633611,-157.8444444,2.56,464.4,0.50976,0.2815008,0.160008,0.11328,0.0798624,0.0620208,2017-01-01 00:00:00-10:00
16241600,"Manoa Stream at Woodlawn Drive, Oahu, HI",21.30844444,-157.8095,4.28,130.0,1.0081920000000002,0.5550720000000001,0.32568,0.2480832,0.1973904,0.1625568,2017-01-01 00:00:00-10:00
16249000,"Waimanalo Str at Waimanalo, Oahu, HI",21.34997222,-157.7289167,2.13,20.0,0.1806816,0.1322544,0.09685440000000001,0.0869424,0.0781632,0.07023360000000001,2017-01-01 00:00:00-10:00
16274100,"Kaneohe Str blw Kamehameha Hwy, Oahu, HI",21.41180556,-157.798111,5.22,34.0,0.860928,0.7533120000000001,0.6740160000000001,0.586224,0.492768,0.40497600000000006,2017-01-01 00:00:00-10:00
16294900,"Waikane Str at alt 75 ft at Waikane, Oahu, HI",21.49708333,-157.8629722,2.24,75.0,0.8127840000000001,0.521088,0.39081600000000005,0.34833600000000003,0.320016,0.286032,2017-01-01 00:00:00-10:00
16301050,"Punaluu Str abv Punaluu Ditch Intake, Oahu, HI",21.55638889,-157.8988889,2.77,212.0,1.229088,0.9515520000000001,0.761808,0.659856,0.611712,0.586224,2017-01-01 00:00:00-10:00
16330000,"Kamananui Str at Maunawai, Oahu, HI",21.63547222,-158.0545833,12.35,20.0,1.7275200000000002,0.943056,0.4559520000000001,0.2670576,0.1639728,0.103368,2017-01-01 00:00:00-10:00
16345000,"Opaeula Str nr Wahiawa, Oahu, HI",21.56233333,-158.00025,3.0,1120.0,1.3650240000000002,0.66552,0.32568,0.1971072,0.1376352,0.09770400000000001,2017-01-01 00:00:00-10:00
